type,length,id,max_speed,green,red,board_time
Start,0,Saint Mary's Street,44,,,
Track,333,smt1,44,,,
Intersection,0,smi1,44,38,38,
Track,522,smt2,44,,,
Intersection,0,smi2,44,20,38,
Track,94.18254593,smt3,44,,,
Station,225,Hawes Street,15,,,10
Track,458.6952723,hat1,44,,,
Station,215,Kent Street,15,,,10
Intersection,0,kei1,44,39,53,
Track,601.0105446,ket1,44,,,
Station,215,Saint Paul Street,15,,,10
Intersection,0,spi1,44,18,73,
Track,572,spt1,44,,,
Intersection,0,spi2,44,39,38,
Track,303,spt2,44,,,
Intersection,0,spi3,44,26,49,
Station,278.3907054,Coolidge Corner,15,,,40
Intersection,0,cci1,44,40,35,
Track,526,cct1,44,,,
Intersection,0,cci2,44,43,66,
Track,269,cct2,44,,,
Intersection,0,cci3,44,25,48,
Track,257.9093734,cct3,44,,,
Station,240,Summit Avenue,15,,,10
Track,188,sut1,44,,,
Intersection,0,sui1,44,38,72,
Track,527.0099442,sut2,44,,,
Station,240,Brandon Hall,15,,,10
Track,418.201519,brt1,44,,,
Station,240,Fairbanks Street,15,,,10
Track,849.81854,fbt1,44,,,
Station,210,Washington Square,15,,,30
Intersection,0,wsi1,44,35,69,
Track,791.3917585,wst1,44,,,
Station,245,Tappan Street,15,,,10
Track,65,tat1,44,,,
Intersection,0,tai1,44,17,19,
Track,607.6724016,tat2,44,,,
Station,235,Dean Road,15,,,10
Intersection,0,dei1,44,27,62,
Track,864,det1,44,,,
Intersection,0,dei2,44,15,60,
Station,290.1927001,Englewood Avenue,15,,,10
Track,740,ent1,44,,,
End,0,Cleaveland Circle,15,,,
